taxon,type,namesake,fictional_universe,character_type,media_type,notes_wiki,kingdom,phylum,class,order,family,genus,species_gbif,scientificName,canonicalName,rank,status,extinct,author_gbif,final_year
Protungulatum gorgun,Fossil mammal,Orcs(Gorgûn),Tolkien,Orcs,Literature,"""Etymology: Gorgûn, the Woses' name for orcs in The Lord of the Rings, with reference to the CretaceousHell Creek Formation""",Animalia,Chordata,Mammalia,,Arctocyonidae,Protungulatum,Protungulatum gorgun,"Protungulatum gorgun Van Valen, 1978",Protungulatum gorgun,SPECIES,ACCEPTED,True,Van Valen,1978.0
Nazgulia,Wasp,Nazgûl,Tolkien,The Nazgûl,Literature,,Animalia,Arthropoda,Insecta,Hymenoptera,Pteromalidae,Nazgulia,,"Nazgulia Hedqvist, 1973",Nazgulia,GENUS,ACCEPTED,False,Hedqvist,1973.0
Tetramorium nazgul,Ant,Nazgûl,Tolkien,The Nazgûl,Literature,,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Tetramorium,Tetramorium nazgul,Tetramorium nazgul Hita,Tetramorium nazgul,SPECIES,ACCEPTED,False,,2012.0
Abavorana nazgul,Frog,Nazgûl,Tolkien,The Nazgûl,Literature,"Named ""in reference to the 'Nazgûl', characters created by J.R.R. Tolkien inThe Lord of the Rings(1954). Also known as Ring-wraiths, they were nine men who succumbed to Sauron’s power and were transformed into white ghostly figures wearing black cloaks—the colouration that the new population being described herein shares.""",Animalia,Chordata,Amphibia,Anura,Ranidae,Abavorana,Abavorana nazgul,"Abavorana nazgul Quah, Anuar, Grismer, Wood, Azizah & Muin, 2017",Abavorana nazgul,SPECIES,ACCEPTED,False,"Quah, Anuar, Grismer, Wood, Azizah & Muin",2017.0
Potamalpheops nazgul,True shrimp,Nazgûl,Tolkien,The Nazgûl,Literature,"""Named after J.R.R. Tolkienʼs fictional characters, the Nazgul, who dwell in the realm of shadows, akin to the habitat of this new shrimp species""",Animalia,Arthropoda,Malacostraca,Decapoda,Alpheidae,Potamalpheops,Potamalpheops nazgul,"Potamalpheops nazgul Christodoulou, Iliffe & De Grave, 2019",Potamalpheops nazgul,SPECIES,ACCEPTED,False,"Christodoulou, Iliffe & De Grave",2019.0
Mischocyttarus nazgul,Wasp,Nazgûl,Tolkien,The Nazgûl,Literature,"""The specific epithet is a reference to the Nazgul Kings""",Animalia,Arthropoda,Insecta,Hymenoptera,Vespidae,Mischocyttarus,Mischocyttarus nazgul,"Mischocyttarus nazgul Borges & Silveira, 2019",Mischocyttarus nazgul,SPECIES,ACCEPTED,False,Borges & Silveira,2019.0
Unicauda fimbrethilae,Myxozoan,"Fimbrethil, the lost wife ofTreebeard",Tolkien,Ents,Literature,,Animalia,Cnidaria,Myxozoa,Bivalvulida,Myxobolidae,Unicauda,,"Unicauda Davis, 1944",Unicauda,SPECIES,ACCEPTED,False,Davis,1944.0
Beorn,Tardigrade,Beorn,Tolkien,Other characters,Literature,Tardigrades or water bears are microscopic animals that look something like bears.,Animalia,Tardigrada,Eutardigrada,Parachela,Beornidae,Beorn,,"Beorn Cooper, 1964",Beorn,GENUS,ACCEPTED,True,Cooper,1964.0
Beornia,Wasp,Beorn,Tolkien,Other characters,Literature,,Animalia,Arthropoda,Insecta,Hymenoptera,Eulophidae,Beornia,,"Beornia Hedqvist, 1975",Beornia,GENUS,ACCEPTED,False,Hedqvist,1975.0
Protoselene bombadili,Fossil mammal,Tom Bombadil,Tolkien,Other characters,Literature,"""Tom Bombadil, the Hobbit name for a simple, powerful, and very old being. Reference is to these three traits.""",Animalia,Chordata,Mammalia,,Mioclaenidae,Bubogonia,Protoselene bombadili,"Protoselene bombadili (Van Valen, 1978)",Protoselene bombadili,SPECIES,ACCEPTED,True,Van Valen,1978.0
Elachista diorella,Moth,"Dior Eluchíl, a Half-elf",Tolkien,Other characters,Literature,,Animalia,Arthropoda,Insecta,Lepidoptera,Elachistidae,Elachista,Elachista diorella,"Elachista diorella Kaila, 1999",Elachista diorella,SPECIES,ACCEPTED,False,Kaila,1999.0
Ankalagon,Fossil mammal,Ancalagon the Black,Tolkien,Animals,Literature,"""The mightiest dragon of Morgoth, in The Silmarillion.""",Animalia,Chordata,Mammalia,,Mesonychidae,Ankalagon,,"Ankalagon van Valen, 1980",Ankalagon,GENUS,ACCEPTED,True,van Valen,1980.0
Desmatoclaenus mearae,Fossil mammal,"Mearas, the horses of Rohan",Tolkien,Animals,Literature,"""Meara, any one of the great horses of Rohan in The Lord of the Rings.""",Animalia,Chordata,Mammalia,,Arctocyonidae,Desmatoclaenus,Desmatoclaenus mearae,"Desmatoclaenus mearae Van Valen, 1978",Desmatoclaenus mearae,SPECIES,ACCEPTED,True,Van Valen,1978.0
Amphiledorus ungoliantae,Spider,Ungoliant,Tolkien,Animals,Literature,Ungoliant is a giant spider.,Animalia,Arthropoda,Arachnida,Araneae,Zodariidae,Amphiledorus,Amphiledorus ungoliantae,"Amphiledorus ungoliantae Pekár & Cardoso, 2005",Amphiledorus ungoliantae,SPECIES,ACCEPTED,False,Pekár & Cardoso,2005.0
Nemesia ungoliant,Spider,Ungoliant,Tolkien,Animals,Literature,,Animalia,Arthropoda,Arachnida,Araneae,Nemesiidae,Nemesia,Nemesia ungoliant,"Nemesia ungoliant Decae, Cardoso & Selden, 2007",Nemesia ungoliant,SPECIES,ACCEPTED,False,"Decae, Cardoso & Selden",2007.0
Liolaemus smaug,Lizard,Smaug,Tolkien,Animals,Literature,"""In Tolkien’s mythology Smaug, the Golden, is the last of the Middle Earth dragons. The nameLiolaemus smaugis because this new species exhibit a golden coloration on body.""",Animalia,Chordata,Squamata,,Liolaemidae,Liolaemus,Liolaemus smaug,"Liolaemus smaug Abdala, Quinteros, Scrocchi & Stazzonelli, 2010",Liolaemus smaug,SPECIES,ACCEPTED,False,"Abdala, Quinteros, Scrocchi & Stazzonelli",2010.0
Smaug,Lizard,Smaug,Tolkien,Animals,Literature,,Animalia,Chordata,Squamata,,Cordylidae,Smaug,,"Smaug Stanley, Bauer, Jackman, Branch & Mouton, 2011",Smaug,GENUS,ACCEPTED,False,"Stanley, Bauer, Jackman, Branch & Mouton",2011.0
Tetramorium smaug,Ant,Smaug,Tolkien,Animals,Literature,,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Tetramorium,Tetramorium smaug,Tetramorium smaug Hita,Tetramorium smaug,SPECIES,ACCEPTED,False,,2012.0
Glaurung,Weigeltisaurid,Glaurung,Tolkien,Animals,Literature,,Animalia,Chordata,,,Weigeltisauridae,Glaurung,,"Glaurung Bulanov & Sennikov, 2015",Glaurung,GENUS,ACCEPTED,False,Bulanov & Sennikov,2015.0
Planois smaug,True bug,Smaug,Tolkien,Animals,Literature,,Animalia,Arthropoda,Insecta,Hemiptera,Acanthosomatidae,Planois,Planois smaug,"Planois smaug Carvajal, Faúndez & Rider, 2015",Planois smaug,SPECIES,ACCEPTED,False,"Carvajal, Faúndez & Rider",2015.0
Tamolia ancalagon,True bug,Ancalagon the Black,Tolkien,Animals,Literature,"Named ""for Ancalagon the Black, the largest dragon in J. R. R. Tokien’s universe; because of the dark coloration and aspect of this new species, as well as its size compared to many other heteropterans.""",Animalia,Arthropoda,Insecta,Hemiptera,Tessaratomidae,Tamolia,Tamolia ancalagon,"Tamolia ancalagon Carjaval, Faundez & Rider, 2015",Tamolia ancalagon,SPECIES,ACCEPTED,False,"Carjaval, Faundez & Rider",2015.0
Cristaphyes glaurung,Kinorhynch,Glaurung,Tolkien,Animals,Literature,,Animalia,Kinorhyncha,Allomalorhagida,,Pycnophyidae,Cristaphyes,Cristaphyes glaurung,"Cristaphyes glaurung Sørensen & Grzelak, 2018",Cristaphyes glaurung,SPECIES,ACCEPTED,True,Sørensen & Grzelak,2018.0
Cristaphyes scatha,Kinorhynch,Scatha the Worm,Tolkien,Animals,Literature,,Animalia,Kinorhyncha,Allomalorhagida,,Pycnophyidae,Cristaphyes,Cristaphyes scatha,"Cristaphyes scatha Sørensen & Grzelak, 2018",Cristaphyes scatha,SPECIES,ACCEPTED,False,Sørensen & Grzelak,2018.0
Ochyrocera laracna,Spider,Shelob,Tolkien,Animals,Literature,"""Laracna"" is Shelob's name in Portuguese",Animalia,Arthropoda,Arachnida,Araneae,Ochyroceratidae,Ochyrocera,Ochyrocera laracna,"Ochyrocera laracna Brescovit, Cizauskas & Mota, 2018",Ochyrocera laracna,SPECIES,ACCEPTED,False,"Brescovit, Cizauskas & Mota",2018.0
Ochyrocera ungoliant,Spider,Ungoliant,Tolkien,Animals,Literature,,Animalia,Arthropoda,Arachnida,Araneae,Ochyroceratidae,Ochyrocera,Ochyrocera ungoliant,"Ochyrocera ungoliant Brescovit, Cizauskas & Mota, 2018",Ochyrocera ungoliant,SPECIES,ACCEPTED,False,"Brescovit, Cizauskas & Mota",2018.0
Pycnophyes ancalagon,Kinorhynch,Ancalagon the Black,Tolkien,Animals,Literature,,Animalia,Kinorhyncha,Allomalorhagida,,Pycnophyidae,Pycnophyes,Pycnophyes ancalagon,"Pycnophyes ancalagon Sørensen & Grzelak, 2018",Pycnophyes ancalagon,SPECIES,ACCEPTED,False,Sørensen & Grzelak,2018.0
Rhabdias glaurungi,Roundworm,Glaurung,Tolkien,Animals,Literature,"This species is named after the fictional character ‘Glaurung’, the first of the Dragons from ‘The Silmarillion’",Animalia,Nematoda,Chromadorea,Rhabditida,Rhabdiasidae,Rhabdias,Rhabdias glaurungi,"Rhabdias glaurungi Willkens, Rebelo, Santos, Furtado, Vilela, Tkach, Kuzmin & Melo, 2019",Rhabdias glaurungi,SPECIES,ACCEPTED,False,"Willkens, Rebelo, Santos, Furtado, Vilela, Tkach, Kuzmin & Melo",2019.0
Cnemaspis smaug,Gecko,Smaug,Tolkien,Animals,Literature,"""The species is named after ""Smaug"", the dragon from J. R. R. Tolkien's 1937 novel,The Hobbit. The name is derived from the old German verb 'smeuganan' meaning ""to creep"" or ""to squeeze through a hole"". The type specimens of this species were found within crevices of rocks and boulders inside the forest. Additionally, like dragons, the dorsum is armoured with large conical tubercles.""",Animalia,Chordata,Squamata,,Gekkonidae,Cnemaspis,Cnemaspis smaug,"Cnemaspis smaug Pal, Mirza, Dsouza & Shanker, 2021",Cnemaspis smaug,SPECIES,ACCEPTED,False,"Pal, Mirza, Dsouza & Shanker",2021.0
Anisonchus athelas,Fossil mammal,"Athelas, a plant",Tolkien,Objects and locations,Literature,"""Sindarin (Elvish) athelas, kingsfoil, a healing plant in The Lord of the Rings. Reference is to the joining of phylogenies.""",Animalia,Chordata,Mammalia,,Periptychidae,Anisonchus,Anisonchus athelas,"Anisonchus athelas Van Valen, 1978",Anisonchus athelas,SPECIES,ACCEPTED,True,Van Valen,1978.0
Earendil undomiel,Fossil mammal,Undómiel,Tolkien,Objects and locations,Literature,"""Quenya (Elvish) undómiel, evening star, which Eärendil with his silmaril became.""",Animalia,Chordata,Mammalia,,Arctocyonidae,Mimatuta,Earendil undomiel,"Earendil undomiel Van Valen, 1978",Earendil undomiel,SPECIES,ACCEPTED,True,Van Valen,1978.0
Litaletes ondolinde,Fossil mammal,Gondolin(also named Ondolindë),Tolkien,Objects and locations,Literature,"""Quenya (elvish) ondo, rock, and lindë, song. Reference is to Rock Bench and to the hidden city Ondolindë orGondolinof The Silmarillion. The Rock Bench specimens and others were formerly as hidden (and unsorted).""",Animalia,Chordata,Mammalia,,Mioclaenidae,Litaletes,Litaletes ondolinde,"Litaletes ondolinde Van Valen, 1978",Litaletes ondolinde,SPECIES,ACCEPTED,True,Van Valen,1978.0
Metapheretima andurili,Earthworm,"Andúril, sword reforged by Aragorn",Tolkien,Objects and locations,Literature,,Animalia,Annelida,Clitellata,Crassiclitellata,Megascolecidae,Metapheretima,Metapheretima andurili,"Metapheretima andurili Easton, 1979",Metapheretima andurili,SPECIES,ACCEPTED,False,Easton,1979.0
Metapheretima stingi,Earthworm,"Sting, Bilbo and Frodo's dagger",Tolkien,Objects and locations,Literature,,Animalia,Annelida,Clitellata,Crassiclitellata,Megascolecidae,Metapheretima,Metapheretima stingi,"Metapheretima stingi Easton, 1979",Metapheretima stingi,SPECIES,ACCEPTED,False,Easton,1979.0
Metapheretima orcrista,Earthworm,"Orcrist, Thorin Oakenshield's sword",Tolkien,Objects and locations,Literature,,Animalia,Annelida,Clitellata,Crassiclitellata,Megascolecidae,Metapheretima,Metapheretima orcrista,"Metapheretima orcrista Easton, 1979",Metapheretima orcrista,SPECIES,ACCEPTED,False,Easton,1979.0
Metapheretima glamdringi,Earthworm,"Glamdring, Gandalf's sword",Tolkien,Objects and locations,Literature,,Animalia,Annelida,Clitellata,Crassiclitellata,Megascolecidae,Metapheretima,Metapheretima glamdringi,"Metapheretima glamdringi Easton, 1979",Metapheretima glamdringi,SPECIES,ACCEPTED,False,Easton,1979.0
Pseudopallenis palantir,Beetle,Palantir,Tolkien,Objects and locations,Literature,,Animalia,Arthropoda,Insecta,Coleoptera,Cleridae,Pseudopallenis,Pseudopallenis palantir,"Pseudopallenis palantir Kolibáč, 1997",Pseudopallenis palantir,SPECIES,ACCEPTED,False,Kolibáč,1997.0
Asthenodipsas lasgalenensis,Snake,Mirkwood(also named Eryn Lasgalen),Tolkien,Objects and locations,Literature,"""The specific epithet lasgalenensis is derived from the name Eryn Lasgalen which means in the ""Wood of Greenleaves"" in the fictional Sindarian language from J.R.R Tolkien's The Lord of the Rings (1955). It was the name used by the Wood Elves for the Mirkwood Forest after its cleansing following the War of the Ring. This name was chosen because Tolkien's (1955) description of this forest showed great similarity to the cloudy, upland forests within which this species is found.""",Animalia,Chordata,Squamata,,Pareidae,Asthenodipsas,Asthenodipsas lasgalenensis,"Asthenodipsas lasgalenensis Loredo, Wood, Quah, Anuar, Greer, Ahmad & Grismer, 2013",Asthenodipsas lasgalenensis,SPECIES,ACCEPTED,False,"Loredo, Wood, Quah, Anuar, Greer, Ahmad & Grismer",2013.0
Shireplitis,Wasp,The Shire,Tolkien,Objects and locations,Literature,"""[T]he genus is endemic to New Zealand, where a human replicate of The Shire is built"".",Animalia,Arthropoda,Insecta,Hymenoptera,Braconidae,Shireplitis,,"Shireplitis Fernández-Triana & Ward, 2013",Shireplitis,GENUS,ACCEPTED,False,Fernández-Triana & Ward,2013.0
Lopholatilus ereborensis,Tilefish,"Erebor, the Lonely Mountain",Tolkien,Objects and locations,Literature,,Animalia,Chordata,,Perciformes,Malacanthidae,Lopholatilus,Lopholatilus ereborensis,"Lopholatilus ereborensis Carnevale & Godfrey, 2014",Lopholatilus ereborensis,SPECIES,ACCEPTED,True,Carnevale & Godfrey,2014.0
Desmia mordor,Moth,Mordor,Tolkien,Objects and locations,Literature,"The specific name ""means ‘Black Land’ in Sindarin, a fictional language used in The Lord of the Rings, the epic high-fantasy novel written by English author J. R. R. Tolkien [...] Mordor is volcanic and partly arid, like the Galápagos.""",Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Desmia,Desmia mordor,"Desmia mordor Landry & Solis, 2016",Desmia mordor,SPECIES,ACCEPTED,False,Landry & Solis,2016.0
Arctoceras erebori,Ammonoid,"Erebor, the Lonely Mountain",Tolkien,Objects and locations,Literature,,Animalia,Mollusca,Cephalopoda,Ceratitida,Arctoceratidae,Arctoceras,Arctoceras erebori,"Arctoceras erebori Piazza, 2017",Arctoceras erebori,SPECIES,ACCEPTED,True,Piazza,2017.0
Astyanax lorien,Ray-finned fish,Lothlórien,Tolkien,Objects and locations,Literature,"lorien, from theQuenyalanguage meaning ""Dream Land"", used in allusion to the ""beautiful areas"" inhabited by the Brazilian species",Animalia,Chordata,,Characiformes,Characidae,Astyanax,Astyanax lorien,"Astyanax lorien Zanata, Burger & Camelier, 2018",Astyanax lorien,SPECIES,ACCEPTED,False,"Zanata, Burger & Camelier",2018.0
Acantopsis bruinen,Ray-finned fish,"River Bruinen, ""Loudwater""",Tolkien,Objects and locations,Literature,"Specific epithetbruinenfor the Loudwater of Rivendell and the flood that took the form of great horses, alluding to the common name “horseface loach” for the genus",Animalia,Chordata,,Cypriniformes,Cobitidae,Acantopsis,Acantopsis bruinen,"Acantopsis bruinen Boyd, Nam, Phanara & Page, 2018",Acantopsis bruinen,SPECIES,ACCEPTED,False,"Boyd, Nam, Phanara & Page",2018.0
Cristaphyes dordaidelosensis,Kinorhynch,Dor Daidelos,Tolkien,Objects and locations,Literature,"""The species namedordaidelosensis, meaning 'living in Dor Daidelos,' is inspired by the book Silmarillion by JRR Tolkien. According to the book, Dor Daidelos is 'The Region of Everlasting Cold' and the northernmost region of Middle Earth in the First Age.""",Animalia,Kinorhyncha,Allomalorhagida,,Pycnophyidae,Cristaphyes,Cristaphyes dordaidelosensis,"Cristaphyes dordaidelosensis Sørensen & Grzelak, 2018",Cristaphyes dordaidelosensis,SPECIES,ACCEPTED,False,Sørensen & Grzelak,2018.0
Hodor anduril,Scale worm,"Andúril, sword reforged by Aragorn",Tolkien,Objects and locations,Literature,"""The species name is derived from the sword named ‘[A]ndúril’ meaning ‘Flame of the West’ and belonging to Aragorn in the novelThe [L]ord of the [R]ingsby J. R. R. Tolkien. It refers to the sword-like modified neurochaetae present in this species.""",Animalia,Annelida,Polychaeta,Phyllodocida,Polynoidae,Hodor,Hodor anduril,"Hodor anduril Bonifácio & Menot, 2018",Hodor anduril,SPECIES,ACCEPTED,False,Bonifácio & Menot,2018.0
Uroplatus fangorn,Gecko,Fangorn,Tolkien,Objects and locations,Literature,"""The species epithet fangorn is [...] derived from the name of a deep, dark woodland in J.R.R. Tolkien’s Middle Earth. [...] We use this name in reference not only to the similarities between Fangorn forest and the forests in which the new species occurs, but also to the tree-like appearance ofUroplatusgeckos, which make them seem like the 'tree spirits' that are Tolkien’s Ents (Flieger 2013).""",Animalia,Chordata,Squamata,,Gekkonidae,Uroplatus,Uroplatus fangorn,"Uroplatus fangorn Ratsoavina, Glaw, Raselimanana, Rakotoarison, Vieites, Hawlitschek, Vences & Scherz, 2020",Uroplatus fangorn,SPECIES,ACCEPTED,False,"Ratsoavina, Glaw, Raselimanana, Rakotoarison, Vieites, Hawlitschek, Vences & Scherz",2020.0
Hyperlais orodruinella,Moth,Orodruin(Mount Doom),Tolkien,Objects and locations,Literature,"""We name the new species after Mount Orodruin. In J.R.R. Tolkien’s The Lord of the Rings, the One Ring was forged on Mount Orodruin by the Dark Lord Sauron. The name shows  the  characteristic feature of the moth: black triangular wings with a yellow suffusion in the basal part, resembling a dark volcano with an erupting top""",Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Hyperlais,Hyperlais orodruinella,"Hyperlais orodruinella Korb, Gorbunov & Melyakh, 2023",Hyperlais orodruinella,SPECIES,ACCEPTED,False,"Korb, Gorbunov & Melyakh",2023.0
Chriacus calenancus,Fossil mammal,"calen,anca",Tolkien,Elvish words,Literature,"""Sindarin (Elvish) calen, green; anca, Jaws. Reference is to inferred herbivory""",Animalia,Chordata,Mammalia,,Oxyclaenidae,Chriacus,Chriacus calenancus,"Chriacus calenancus Van Valen, 1978",Chriacus calenancus,SPECIES,ACCEPTED,True,Van Valen,1978.0
Mimatuta minuial,Fossil mammal,minuial,Tolkien,Elvish words,Literature,"""Sindarin (Elvish) minuial, the time at dawn when the stars fade. Reference is to the dawn of the Cenozoic and the fading of the Mesozoic stars.""",Animalia,Chordata,Mammalia,,Arctocyonidae,Mimatuta,Mimatuta minuial,"Mimatuta minuial Van Valen, 1978",Mimatuta minuial,SPECIES,ACCEPTED,True,Van Valen,1978.0
Elachista aranella,Moth,aran-,Tolkien,Elvish words,Literature,"""E. aranellaseems to owe its name toaran-, the 'royal prefix used by the Kings of Arthedain after Malvegil and by the Chieftains of the Dúnedain of the North to indicate their claim to all of Arnor'"".[226]",Animalia,Arthropoda,Insecta,Lepidoptera,Elachistidae,Elachista,Elachista aranella,"Elachista aranella Kaila, 1999",Elachista aranella,SPECIES,ACCEPTED,False,Kaila,1999.0
Helicops nentur,Snake,"nen,tur",Tolkien,Elvish words,Literature,"""The namenenturis formed by the (Quenya) wordsnen(water) andtur(ruler, master),"" referencing the aquatic habits of the species",Animalia,Chordata,Squamata,,Colubridae,Helicops,Helicops nentur,"Helicops nentur Costa, Santana, Leal, Koroiva & Garcia, 2016",Helicops nentur,SPECIES,ACCEPTED,False,"Costa, Santana, Leal, Koroiva & Garcia",2016.0
Hylaeus mellon,Bee,mellon,Tolkien,Elvish words,Literature,"""mellon (High Elvish [Sindarin]): friend""",Animalia,Arthropoda,Insecta,Hymenoptera,Colletidae,Hylaeus,Hylaeus mellon,"Hylaeus mellon Dathe & Proshchalykin, 2016",Hylaeus mellon,SPECIES,ACCEPTED,False,Dathe & Proshchalykin,2016.0
Epimeria anguloce,Amphipod,angulócë,Tolkien,Elvish words,Literature,"""Angulócë, dragon — Tolkien’s Quenya language ( Faulskanger 2008). The name, which is a noun in apposition, alludes to the dragon-like facies of the species.""",Animalia,Arthropoda,Malacostraca,Amphipoda,Epimeriidae,Epimeria,Epimeria anguloce,"Epimeria anguloce dAcoz & Verheye, 2017",Epimeria anguloce,SPECIES,ACCEPTED,False,dAcoz & Verheye,2017.0
Thiodina perian,Jumping spider,perian,Tolkien,Elvish words,Literature,"""The specific name is a noun in apposition taken from the fictional language Sindarin created by J.R.R. Tolkien. The Sindarin is one of the languages spoken by the Elves. The word 'perian' is translated as 'small' and was used to refer to the Hobbits, the smaller kind of Middle Earth; in reference to its small size, to date the smallest thiodinine ever discovered""",Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Thiodina,Thiodina perian,"Thiodina perian Bustamante & Ruiz, 2017",Thiodina perian,SPECIES,ACCEPTED,False,Bustamante & Ruiz,2017.0
Aspidoras psammatides,Catfish,"Psamathos Psamathides,Roverandom",Tolkien,Other works,Literature,"""Psammatides, after 'Psammatos psammatides'  [sic], 'the sand sorcerer', a character of J.R.R. Tolkien’s book 'Roverandom', from the Greek psammos, sand, and ides, son of. In allusion to the sand-dwelling behavior of the species.""",Animalia,Chordata,,Siluriformes,Callichthyidae,Aspidoras,Aspidoras psammatides,"Aspidoras psammatides Britto, Lima & Santos, 2005",Aspidoras psammatides,SPECIES,ACCEPTED,False,"Britto, Lima & Santos",2005.0
Epicratinus anakin,Spider,"""Anakin is a character which change[s] from the light side to the dark side of the 'Force' and becomes evil in the plot. The two colors of the male carapace remind that change.""",Star Wars,Named after Darth Vader,Films,[4],Animalia,Arthropoda,Arachnida,Araneae,Zodariidae,Epicratinus,Epicratinus anakin,"Epicratinus anakin Gonçalves & Brescovit, 2020",Epicratinus anakin,SPECIES,ACCEPTED,False,Gonçalves & Brescovit,2020.0
Epicratinus vader,Spider,"""Darth Vader is a character which wears a costume and black helmet, like the color of the male carapace.""",Star Wars,Named after Darth Vader,Films,,Animalia,Arthropoda,Arachnida,Araneae,Zodariidae,Epicratinus,Epicratinus vader,"Epicratinus vader Gonçalves & Brescovit, 2020",Epicratinus vader,SPECIES,ACCEPTED,False,Gonçalves & Brescovit,2020.0
Polemistus vaderi,Wasp,"Menke stated that he ""wanted to add a little humor in the otherwise rather dry subject of taxonomy"".",Star Wars,Named after Darth Vader,Films,[5][6],Animalia,Arthropoda,Insecta,Hymenoptera,Crabronidae,Polemistus,Polemistus vaderi,"Polemistus vaderi Vincent, 1983",Polemistus vaderi,SPECIES,ACCEPTED,False,Vincent,1983.0
Adelomyrmex vaderi,Ant,"""The dark aspect of these ants evokes Darth Vader, the malign character in theStar Warsseries, for whom this species is named.""",Star Wars,Named after Darth Vader,Films,[8],Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Adelomyrmex,Adelomyrmex vaderi,"Adelomyrmex vaderi Fernandez, 2003",Adelomyrmex vaderi,SPECIES,ACCEPTED,False,Fernandez,2003.0
Thricops vaderi,True fly,,Star Wars,Named after Darth Vader,Films,[9],Animalia,Arthropoda,Insecta,Diptera,Muscidae,Thricops,Thricops vaderi,"Thricops vaderi Savage, 2003",Thricops vaderi,SPECIES,ACCEPTED,False,Savage,2003.0
Agathidium vaderi,Beetle,"Darth Vader ""shares withA. vaderia broad, shiny, helmetlike head.""",Star Wars,Named after Darth Vader,Films,[10][11],Animalia,Arthropoda,Insecta,Coleoptera,Leiodidae,Agathidium,Agathidium vaderi,"Agathidium vaderi K.B.Miller & Q.D.Wheeler, 2005",Agathidium vaderi,SPECIES,ACCEPTED,False,K.B.Miller & Q.D.Wheeler,2005.0
Garthambrus darthvaderi,Crab,"The specific epithet ""alludes to the helmet-like appearance of the front of this species.""",Star Wars,Named after Darth Vader,Films,[12],Animalia,Arthropoda,Malacostraca,Decapoda,Parthenopidae,Garthambrus,Garthambrus darthvaderi,"Garthambrus darthvaderi McLay & Tan, 2009",Garthambrus darthvaderi,SPECIES,ACCEPTED,False,McLay & Tan,2009.0
Zoosphaerium darthvaderi,Millipede,"""From theStar Warscharacter Darth Vader, whose helmet strongly resembles the anal shield of this species.""",Star Wars,Named after Darth Vader,Films,[13],Animalia,Arthropoda,Diplopoda,Sphaerotheriida,Arthrosphaeridae,Zoosphaerium,Zoosphaerium darthvaderi,"Zoosphaerium darthvaderi Wesener & Bespalova, 2010",Zoosphaerium darthvaderi,SPECIES,ACCEPTED,False,Wesener & Bespalova,2010.0
Begonia darthvaderiana,Begonia,"""The epithet refers to the resemblance of the unique dark appearance of this newBegoniato that of warrior Darth Vader""",Star Wars,Named after Darth Vader,Films,[14],Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Begoniaceae,Begonia,Begonia darthvaderiana,Begonia darthvaderiana C.W.Lin & C.I Peng,Begonia darthvaderiana,SPECIES,ACCEPTED,False,,2014.0
Diastolinus vaderi,Darkling beetle,"The species has a ""shiny black head and pronotum that bear a striking resemblance to the helmet"" of Darth Vader.",Star Wars,Named after Darth Vader,Films,[15],Animalia,Arthropoda,Insecta,Coleoptera,Tenebrionidae,Diastolinus,Diastolinus vaderi,"Diastolinus vaderi Hart & Ivie, 2016",Diastolinus vaderi,SPECIES,ACCEPTED,False,Hart & Ivie,2016.0
Lepidogryllus darthvaderi,Cricket,"""Species named after its striking coloration within the genus: wholly dark (bad) with some light patches (good), as the bad fictional character Darth Vader """,Star Wars,Named after Darth Vader,Films,[16],Animalia,Arthropoda,Insecta,Orthoptera,Gryllidae,Lepidogryllus,Lepidogryllus darthvaderi,"Lepidogryllus darthvaderi Desutter-Grandcolas & Anso, 2016",Lepidogryllus darthvaderi,SPECIES,ACCEPTED,False,Desutter-Grandcolas & Anso,2016.0
Ricinus vaderi,Chewing louse,"""The first author’s fiancée noticed a similarity between the head of theR. vaderiand Darth Vader’s helmet.""",Star Wars,Named after Darth Vader,Films,[17],Animalia,Arthropoda,Insecta,Psocodea,Ricinidae,Ricinus,Ricinus vaderi,"Ricinus vaderi Valan, 2016",Ricinus vaderi,SPECIES,ACCEPTED,False,Valan,2016.0
Vaderlimulus tricki,Horseshoe Crab,,Star Wars,Named after Darth Vader,Films,[18],Animalia,Arthropoda,Merostomata,Xiphosurida,Austrolimulidae,Vaderlimulus,Vaderlimulus tricki,"Vaderlimulus tricki Lerner et al., 2017",Vaderlimulus tricki,SPECIES,ACCEPTED,False,Lerner et al.,2017.0
Epicratinus yoda,Spider,"The specific epithet is a noun taken in apposition and is in reference to Jedi Master Yoda, a fictional character in George Lucas film, “Star Wars”. Yoda is the smallest of the Jedi Council in size, with three fingers in hand, just like his RTA.",Star Wars,Named after Yoda,Films,[20],Animalia,Arthropoda,Arachnida,Araneae,Zodariidae,Epicratinus,,"Epicratinus Jocqué & Baert, 2005",Epicratinus,SPECIES,ACCEPTED,False,Jocqué & Baert,2024.0
